frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.64, 0.00, 0.00, 1.05, 1.23, 0.40, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.000,  0.88,  1, 0.00, 0.00, 0.41, 0.01, 0.00, 0.36, 0.00, 0.10, 0.00, 0.01, 0.18, 1.47, 0.00, 0.28, 0.78, 1.71, 0.29, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.48, 0.01, 0.46, 0.84, 0.00, 0.15, 0.00, 0.01, 0.18, 1.25, 0.08, 0.28, 1.20, 1.83, 0.16, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
4,  0,  0.000,  0.88,  1, 0.00, 0.30, 0.48, 0.00, 0.46, 0.84, 0.00, 0.15, 0.00, 0.01, 0.41, 1.67, 0.08, 0.00, 0.79, 1.93, 0.33, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
5,  0,  0.000,  0.98,  1, 0.00, 0.30, 0.12, 0.00, 0.46, 0.75, 0.00, 0.06, 0.00, 0.00, 0.24, 0.80, 0.08, 0.00, 0.96, 1.23, 0.33, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
6,  0,  0.000,  0.92,  1, 0.09, 0.30, 0.21, 0.00, 0.00, 0.36, 0.00, 0.00, 0.00, 0.00, 0.24, 0.50, 0.46, 0.00, 0.20, 0.81, 0.95, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
7,  0,  0.000,  0.92,  1, 1.24, 0.78, 0.21, 0.00, 0.00, 0.36, 0.00, 0.00, 0.00, 0.03, 0.00, 0.02, 0.46, 0.00, 0.72, 0.63, 0.91, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.000,  0.92,  1, 1.24, 0.80, 0.16, 0.08, 0.00, 0.47, 0.00, 0.00, 0.00, 0.03, 0.00, 0.13, 0.46, 0.00, 0.54, 0.19, 1.13, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.000,  0.98,  1, 1.45, 0.80, 0.08, 0.08, 0.00, 0.90, 0.00, 0.12, 0.00, 0.03, 0.00, 0.68, 0.00, 0.00, 1.01, 0.74, 0.50, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.000,  0.98,  1, 0.29, 0.02, 0.08, 0.08, 0.00, 0.90, 0.00, 0.12, 0.00, 0.00, 0.00, 0.68, 0.00, 0.00, 0.47, 0.66, 0.22, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
