frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 1.44, 0.00, 0.98, 3.04, 0.00, 2.07, 0.00, 1.02, 0.00, 0.36, 0.00, 0.40, 1.19, 4.26, 1.66, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00
2,  0,  0.000,  0.98,  1, 0.04, 0.01, 1.25, 0.00, 0.57, 2.50, 0.13, 0.91, 0.00, 0.34, 0.17, 0.44, 0.00, 0.13, 1.62, 2.70, 1.40, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
3,  0,  0.000,  0.98,  1, 0.04, 0.01, 1.25, 0.18, 0.72, 1.64, 0.45, 0.43, 0.00, 0.00, 0.17, 0.53, 0.00, 0.00, 2.03, 2.06, 0.85, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
4,  0,  0.000,  0.88,  1, 0.00, 0.00, 1.14, 0.18, 0.93, 2.88, 0.96, 0.67, 0.00, 0.46, 0.00, 0.61, 0.06, 0.07, 1.73, 2.00, 0.85, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
5,  0,  0.000,  0.88,  1, 0.33, 0.00, 0.55, 0.25, 0.81, 2.06, 0.84, 1.54, 0.20, 0.47, 1.36, 1.11, 0.08, 0.07, 2.68, 1.54, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
6,  0,  0.000,  0.88,  1, 0.44, 0.17, 0.19, 0.21, 0.41, 1.90, 0.51, 1.40, 0.31, 0.84, 1.36, 1.08, 0.08, 0.07, 2.16, 0.81, 0.04, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
7,  0,  0.000,  0.98,  1, 0.44, 0.17, 0.73, 0.21, 0.14, 0.46, 0.00, 0.94, 0.31, 0.49, 1.36, 0.92, 0.02, 0.03, 2.20, 0.21, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
8,  0,  0.000,  0.88,  1, 0.11, 0.17, 1.16, 0.54, 0.35, 0.35, 0.00, 1.03, 0.40, 0.91, 0.00, 0.64, 0.00, 0.03, 1.44, 1.06, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
9,  0,  0.000,  0.98,  1, 0.00, 0.00, 1.03, 0.40, 0.33, 0.65, 0.00, 0.96, 0.31, 0.54, 0.20, 0.47, 0.00, 0.03, 1.47, 1.28, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
10,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.96, 0.42, 0.33, 0.52, 0.00, 0.96, 0.31, 0.43, 0.21, 0.91, 0.00, 1.26, 1.10, 2.70, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
