frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.14, 0.00, 0.03, 0.00, 0.30, 0.00, 0.78, 0.00, 0.00, 1.10, 0.77, 1.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
2,  0,  0.000,  0.75,  1, 0.48, 0.08, 0.23, 0.24, 0.13, 0.05, 0.35, 0.40, 0.60, 0.10, 0.37, 1.50, 0.00, 0.38, 0.65, 0.26, 0.38, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.000,  0.92,  1, 0.48, 0.08, 0.23, 0.24, 0.42, 0.00, 0.87, 0.39, 0.73, 0.00, 0.64, 1.86, 0.00, 0.38, 0.77, 0.00, 0.33, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
4,  0,  0.000,  0.88,  1, 0.77, 0.16, 0.24, 0.37, 0.42, 0.00, 0.71, 0.39, 0.45, 0.00, 0.40, 2.01, 0.00, 0.73, 0.83, 0.46, 0.32, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
5,  0,  0.000,  0.98,  1, 0.29, 0.16, 0.01, 0.13, 0.29, 0.24, 0.53, 0.00, 0.13, 0.49, 0.27, 1.35, 0.00, 0.42, 1.08, 1.28, 0.40, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
6,  0,  0.000,  0.98,  1, 0.29, 0.65, 0.01, 0.20, 0.00, 0.24, 0.00, 0.00, 0.00, 0.49, 0.00, 0.84, 0.00, 0.42, 1.17, 1.77, 0.44, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
7,  0,  0.000,  0.98,  1, 0.00, 0.49, 0.00, 0.07, 0.00, 0.26, 0.00, 0.11, 0.00, 0.66, 0.03, 0.71, 0.00, 0.07, 1.64, 1.56, 0.44, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
8,  0,  0.000,  0.98,  1, 0.31, 0.49, 0.00, 0.07, 0.00, 0.02, 0.02, 0.35, 0.00, 0.67, 0.16, 0.91, 0.00, 0.00, 1.53, 1.11, 0.68, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
9,  0,  0.000,  0.98,  1, 0.31, 0.01, 0.06, 0.00, 0.00, 0.02, 0.02, 0.40, 0.00, 0.67, 0.16, 0.95, 0.00, 0.00, 1.39, 0.83, 0.31, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
10,  0,  0.000,  0.98,  1, 0.98, 0.08, 0.06, 0.00, 0.00, 0.00, 0.02, 0.35, 0.00, 0.50, 0.55, 1.06, 0.53, 0.00, 0.94, 0.58, 0.78, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
