frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.88,  1, 0.00, 0.00, 0.28, 0.00, 3.72, 0.80, 0.00, 0.00, 1.51, 2.96, 2.89, 3.07, 1.43, 1.39, 0.38, 0.89, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00
2,  0,  0.000,  0.98,  1, 0.96, 0.00, 0.40, 0.13, 1.63, 0.88, 0.00, 0.44, 0.85, 0.99, 2.22, 2.36, 0.48, 0.82, 0.71, 1.14, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
3,  0,  0.000,  0.98,  1, 1.54, 0.42, 0.80, 0.13, 0.39, 1.05, 0.43, 0.44, 0.34, 0.00, 1.26, 1.52, 0.00, 0.61, 1.17, 1.64, 1.37, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.000,  0.88,  1, 1.61, 0.43, 0.50, 0.13, 0.00, 0.43, 0.53, 0.24, 0.00, 0.17, 0.00, 0.22, 0.10, 0.61, 1.96, 1.27, 1.59, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
5,  0,  0.000,  0.98,  1, 1.05, 0.43, 0.87, 0.00, 0.26, 1.06, 0.53, 0.24, 0.38, 0.69, 0.00, 0.84, 0.10, 0.65, 2.23, 1.94, 2.37, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
6,  0,  0.000,  0.92,  1, 1.13, 0.01, 0.38, 0.00, 0.27, 0.69, 0.10, 0.24, 0.38, 0.95, 0.91, 1.46, 0.16, 0.39, 1.71, 1.64, 0.99, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.000,  0.98,  1, 0.66, 0.00, 0.87, 0.00, 0.27, 1.13, 0.62, 0.10, 0.38, 1.01, 0.91, 1.46, 0.06, 0.39, 0.93, 1.18, 0.78, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.000,  0.98,  1, 0.77, 0.00, 0.55, 0.00, 0.01, 0.65, 0.62, 0.10, 0.08, 0.82, 0.91, 0.81, 0.06, 0.00, 0.61, 0.81, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.000,  0.98,  1, 0.11, 0.35, 0.78, 0.44, 0.00, 0.59, 0.62, 0.10, 0.08, 0.57, 0.64, 0.32, 0.00, 0.66, 0.91, 1.42, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.000,  0.98,  1, 0.63, 1.10, 0.57, 0.59, 0.00, 0.15, 0.00, 0.03, 0.21, 0.49, 1.64, 0.85, 0.00, 1.43, 0.47, 2.41, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
