frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.77, 0.00, 0.64, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.76, 0.00, 0.00, 0.00, 0.00, 2.22, 1.36, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00
2,  0,  0.000,  0.98,  1, 0.94, 0.60, 0.50, 0.00, 0.06, 0.44, 0.00, 0.00, 0.00, 0.77, 0.00, 0.00, 0.00, 0.00, 1.48, 1.22, 0.21, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
3,  0,  0.000,  0.98,  1, 0.69, 0.60, 0.29, 0.00, 0.06, 0.51, 0.00, 0.00, 0.00, 0.24, 0.00, 0.03, 0.00, 0.00, 1.07, 0.77, 0.21, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
4,  0,  0.000,  0.98,  1, 0.44, 0.50, 0.20, 0.00, 1.24, 0.33, 0.00, 0.00, 0.50, 1.22, 0.97, 1.07, 0.47, 0.45, 1.18, 0.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.000,  0.88,  1, 0.00, 0.00, 0.32, 0.00, 1.57, 0.91, 0.00, 0.46, 0.79, 1.65, 0.97, 1.61, 0.58, 0.69, 0.44, 0.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.32, 0.00, 1.57, 1.41, 0.33, 0.46, 0.79, 1.76, 0.97, 1.58, 0.68, 0.69, 0.40, 0.49, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00
7,  0,  0.000,  0.98,  1, 0.00, 0.23, 0.63, 0.00, 0.33, 1.19, 0.71, 0.68, 0.29, 1.12, 0.00, 0.54, 0.21, 0.65, 0.35, 0.18, 0.08, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.000,  0.98,  1, 0.17, 0.23, 0.81, 0.00, 0.37, 1.44, 0.71, 0.78, 0.00, 1.01, 0.00, 0.00, 0.60, 0.41, 1.13, 0.83, 0.33, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00
9,  0,  0.000,  0.98,  1, 0.17, 0.23, 0.81, 0.00, 0.37, 0.88, 0.38, 0.78, 0.00, 0.85, 0.01, 0.13, 0.50, 0.60, 0.90, 1.16, 0.67, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00
10,  0,  0.000,  0.98,  1, 0.61, 0.00, 0.71, 0.00, 0.75, 1.45, 0.00, 1.00, 0.34, 0.51, 1.28, 1.45, 0.50, 0.19, 1.30, 2.02, 0.59, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00
