frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.73, 0.64, 0.00, 0.26, 0.48, 0.70, 0.15, 0.00, 0.29, 1.34, 0.00, 0.35, 0.00, 0.00, 0.07, 0.00, 0.20, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
2,  0,  0.042,  0.98,  1, 0.77, 0.79, 0.00, 0.28, 0.48, 0.71, 0.14, 0.05, 0.38, 1.00, 0.15, 0.36, 0.00, 0.00, 0.02, 0.00, 0.07, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.083,  0.98,  1, 0.78, 0.73, 0.00, 0.20, 0.46, 0.74, 0.18, 0.10, 0.44, 0.90, 0.20, 0.29, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.125,  0.98,  1, 0.78, 0.57, 0.00, 0.22, 0.43, 0.67, 0.18, 0.13, 0.42, 0.88, 0.06, 0.15, 0.00, 0.00, 0.23, 0.11, 0.19, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
5,  0,  0.167,  0.98,  1, 0.77, 0.43, 0.00, 0.06, 0.37, 0.62, 0.18, 0.14, 0.40, 0.97, 0.05, 0.05, 0.00, 0.00, 0.45, 0.13, 0.49, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
6,  0,  0.208,  0.98,  1, 0.80, 0.47, 0.00, 0.18, 0.36, 0.53, 0.16, 0.10, 0.38, 0.86, 0.00, 0.00, 0.00, 0.00, 0.80, 0.14, 0.81, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
7,  0,  0.250,  0.98,  1, 0.94, 0.69, 0.00, 0.18, 0.30, 0.57, 0.15, 0.05, 0.30, 0.93, 0.04, 0.00, 0.00, 0.00, 0.58, 0.22, 0.79, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
8,  0,  0.292,  0.98,  1, 1.09, 0.85, 0.00, 0.17, 0.27, 0.77, 0.12, 0.00, 0.22, 1.04, 0.04, 0.04, 0.00, 0.00, 0.36, 0.31, 0.54, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
9,  0,  0.333,  0.98,  1, 1.28, 1.00, 0.00, 0.24, 0.20, 0.97, 0.07, 0.09, 0.14, 1.20, 0.23, 0.04, 0.01, 0.00, 0.00, 0.41, 0.22, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
10,  0,  0.375,  0.98,  1, 1.24, 0.98, 0.00, 0.26, 0.31, 1.10, 0.10, 0.30, 0.23, 1.26, 0.35, 0.04, 0.09, 0.00, 0.24, 0.34, 0.08, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
11,  0,  0.417,  0.98,  1, 1.08, 0.93, 0.00, 0.30, 0.50, 1.08, 0.20, 0.39, 0.34, 1.24, 0.36, 0.00, 0.12, 0.00, 0.68, 0.31, 0.12, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
12,  0,  0.458,  0.98,  1, 0.91, 0.90, 0.00, 0.30, 0.68, 1.08, 0.27, 0.41, 0.49, 1.30, 0.16, 0.00, 0.17, 0.00, 1.25, 0.29, 0.22, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
13,  0,  0.500,  0.98,  1, 0.82, 0.92, 0.00, 0.36, 0.68, 1.04, 0.30, 0.29, 0.54, 1.30, 0.01, 0.00, 0.14, 0.00, 1.31, 0.21, 0.30, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
14,  0,  0.542,  0.98,  1, 0.84, 0.81, 0.00, 0.39, 0.53, 1.02, 0.21, 0.20, 0.39, 1.49, 0.08, 0.10, 0.25, 0.00, 0.87, 0.13, 0.21, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
