frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.30, 1.56, 0.00, 0.24, 0.77, 0.00, 0.00, 0.61, 0.00, 0.00, 1.96, 0.00, 0.28, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
2,  0,  0.000,  0.98,  1, 0.24, 0.00, 0.00, 0.00, 0.10, 0.76, 0.00, 0.08, 0.26, 0.00, 0.00, 0.72, 0.21, 0.00, 1.26, 0.75, 0.24, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.000,  0.98,  1, 0.37, 0.00, 0.27, 0.19, 0.00, 0.36, 0.00, 0.00, 0.00, 0.00, 0.10, 0.52, 0.21, 0.00, 0.60, 0.98, 0.15, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.000,  0.98,  1, 0.37, 0.00, 0.27, 0.20, 0.00, 0.36, 0.00, 0.00, 0.00, 0.00, 0.10, 0.03, 0.21, 0.26, 0.69, 0.73, 0.18, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.000,  0.88,  1, 0.12, 0.00, 0.68, 0.20, 0.00, 0.49, 0.00, 0.10, 0.00, 0.01, 0.29, 0.86, 0.00, 0.26, 0.48, 1.49, 0.18, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.48, 0.02, 0.46, 0.84, 0.00, 0.15, 0.00, 0.01, 0.18, 1.15, 0.11, 0.26, 1.30, 1.76, 0.18, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.000,  0.88,  1, 0.00, 0.00, 0.48, 0.00, 0.46, 0.84, 0.00, 0.15, 0.00, 0.01, 0.18, 1.12, 0.11, 0.00, 0.81, 1.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.000,  0.58,  0, 0.00, 0.00, 0.07, 0.00, 0.46, 0.48, 0.00, 0.06, 0.00, 0.00, 0.00, 0.29, 0.11, 0.00, 0.81, 0.51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.000,  0.35,  0, 0.00, 0.28, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.24, 0.45, 0.00, 0.00, 0.07, 0.24, 0.34, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
10,  0,  0.000,  0.98,  1, 0.00, 0.28, 0.05, 0.00, 0.00, 0.27, 0.00, 0.00, 0.00, 0.00, 0.24, 0.45, 0.00, 0.00, 0.30, 0.66, 0.34, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  0.000,  0.92,  1, 0.83, 0.73, 0.05, 0.00, 0.00, 0.27, 0.00, 0.00, 0.00, 0.00, 0.24, 0.86, 0.00, 0.00, 0.50, 1.29, 0.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0,  0.000,  0.88,  1, 0.94, 0.45, 0.21, 0.00, 0.00, 0.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.41, 0.49, 0.00, 0.43, 1.14, 0.65, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
13,  0,  0.000,  0.92,  1, 2.12, 1.21, 0.16, 0.00, 0.00, 0.09, 0.00, 0.00, 0.00, 0.03, 0.00, 0.41, 0.49, 0.00, 0.79, 0.77, 0.95, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
14,  0,  0.000,  0.92,  1, 1.28, 0.75, 0.35, 0.00, 0.13, 0.87, 0.14, 0.19, 0.00, 0.03, 0.41, 0.88, 0.49, 0.32, 0.59, 0.41, 0.95, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
15,  0,  0.000,  0.88,  1, 1.18, 0.75, 0.55, 0.56, 0.13, 0.79, 0.14, 0.19, 0.00, 0.03, 0.41, 0.88, 0.00, 0.32, 0.68, 0.31, 0.79, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
16,  0,  0.000,  0.88,  1, 0.00, 0.00, 0.55, 0.56, 0.13, 1.42, 0.14, 0.19, 0.00, 0.00, 0.41, 0.88, 0.00, 0.32, 0.09, 0.26, 0.83, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
17,  0,  0.000,  0.98,  1, 0.00, 0.00, 1.00, 0.56, 0.00, 0.96, 0.02, 0.00, 0.00, 0.00, 0.00, 0.59, 0.00, 0.05, 0.09, 0.00, 1.26, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18,  0,  0.000,  0.92,  1, 0.31, 0.00, 0.72, 0.00, 0.00, 1.47, 0.02, 0.12, 0.00, 0.00, 0.00, 1.12, 0.00, 0.05, 0.52, 0.64, 0.77, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19,  0,  0.000,  0.98,  1, 0.31, 0.00, 0.72, 0.00, 0.00, 0.84, 0.02, 0.12, 0.00, 0.00, 0.00, 1.12, 0.00, 0.05, 0.52, 0.64, 0.43, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
20,  0,  0.000,  0.02,  0, 0.31, 0.00, 0.08, 0.00, 0.00, 0.52, 0.00, 0.12, 0.00, 0.00, 0.00, 0.53, 0.00, 0.00, 0.52, 0.64, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
