frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.92, 1, 0.43, 0.44, -1.42, 0.35, 1.03, 0.18, 0.49, 1.34, 1.76, 1.02, 0.17, 0.47, 0.31, 0.54, 0.54, 0.51, 0.66, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2, 0, 0.000, 0.98, 1, 0.54, 1.94, -1.27, 1.41, -0.84, -0.67, -2.85, -1.80, -0.30, -0.50, -2.62, 1.72, -0.94, 3.13, -3.16, 1.74, 2.13, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
3, 0, 0.000, 0.98, 1, -0.41, -1.05, 0.52, 0.69, 1.20, 2.21, -0.27, 0.80, 2.39, 0.70, -0.36, 3.34, -0.65, 2.97, 0.51, 0.62, 1.06, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
4, 0, 0.000, 0.98, 1, 0.93, 0.49, 0.38, 1.29, 1.98, 1.43, -0.15, 1.85, 3.55, 1.40, -0.85, 0.16, 0.14, 2.94, 0.72, 1.96, 1.51, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
5, 0, 0.000, 0.98, 1, -0.11, 0.96, 0.09, 0.45, 1.20, -0.54, 0.89, 1.85, 2.90, 0.87, -0.36, 1.95, 1.88, 0.91, -0.09, 0.73, -1.93, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0
6, 0, 0.000, 0.98, 1, 3.17, 2.92, 0.14, 1.75, 0.86, -0.81, -1.66, 2.15, 1.21, 1.92, -1.59, 0.49, 1.58, 0.41, 0.00, 1.85, -1.49, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
7, 0, 0.000, 0.98, 1, -0.03, 0.02, -1.08, 1.45, 1.14, 1.18, 0.79, -0.02, 1.39, 2.15, 0.31, -0.03, 0.40, 0.27, 0.25, -1.40, 0.42, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
8, 0, 0.000, 0.98, 1, 2.66, 1.60, 0.88, 2.65, 1.52, 1.39, -1.23, 1.36, 2.00, 0.98, -1.56, -0.37, 0.64, -0.15, 3.19, 3.00, 0.59, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
9, 0, 0.000, 0.98, 1, 3.01, 4.62, -1.03, 2.16, 1.25, -0.66, -0.94, 0.82, 3.07, 1.07, -1.30, -1.09, -0.35, 0.22, 2.03, 1.11, -1.00, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
10, 0, 0.000, 0.98, 1, 0.81, -0.22, -0.23, 0.46, 2.33, 0.59, -1.03, 1.80, 2.83, 0.55, -0.04, 1.97, -0.11, 3.26, -0.92, 0.44, -0.50, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
