frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.92, 1, 0.43, 0.44, -0.97, 0.35, -2.05, -2.12, 0.49, -1.83, -1.12, -1.65, 0.17, 0.47, 0.31, 0.54, 0.54, 0.51, 0.66, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
2, 0, 0.000, 0.98, 1, -0.24, -1.22, -0.16, -1.30, -1.41, -2.31, 1.28, -1.46, -0.52, -1.49, -1.79, -3.42, 0.52, -1.34, 1.53, 0.21, 1.17, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0
3, 0, 0.000, 0.98, 1, 0.32, -1.07, -0.80, -0.42, -1.03, 1.71, -0.08, -0.69, 0.35, 0.97, -0.25, 0.44, -0.43, 0.74, 3.54, 1.27, 1.78, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
4, 0, 0.000, 0.98, 1, 1.83, -0.36, -1.81, -1.02, -0.20, 0.19, 0.06, 1.64, 1.69, 0.89, 0.09, -0.21, 0.84, 0.54, 4.09, 1.00, 1.95, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
5, 0, 0.000, 0.72, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
6, 0, 0.000, 0.02, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
7, 0, 0.000, 0.98, 1, -1.82, -1.15, 0.82, -1.76, 1.85, 1.14, 0.43, 0.97, 1.43, 2.40, 1.36, 0.30, 4.64, 1.87, 2.72, 0.68, 0.06, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0
8, 0, 0.000, 0.98, 1, -0.07, 1.15, -0.71, -1.44, -0.53, 0.15, 0.96, -0.37, 0.07, -0.30, -0.46, -0.64, 0.86, -0.89, 2.98, 0.47, -0.41, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0
9, 0, 0.000, 0.88, 1, 2.14, 2.65, -3.11, 1.53, -1.59, -0.29, -0.10, -0.74, -0.56, -1.81, -0.05, 1.22, -0.24, 0.25, 0.67, 0.21, -0.04, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
10, 0, 0.000, 0.98, 1, 0.83, 1.00, -0.55, 1.84, 0.22, 0.62, -0.60, 0.51, 0.96, 0.03, 1.15, 2.88, 0.63, 1.03, 1.43, 0.66, -0.70, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0
