Frame,StartTime,EndTime,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.000000,0.033333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.033333,0.066667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.066667,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.100000,0.133333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.133333,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.166667,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.200000,0.233333,0.112532,-0.078968,0.492516,-1.621980,1.393470,-0.143639,-0.437212,1.603820,1.988470,-0.056161,-0.211137,0.247298,-2.451570,-0.280869,-0.578501,-0.916402,-0.288162,-1.033070,-2.033430,-0.239689
7,0.233333,0.266667,0.207097,0.097024,0.651434,-1.396000,1.296340,0.036355,-0.288095,1.375790,1.883410,0.197157,-0.428729,0.106494,-2.692580,-0.165096,-0.621992,-0.975600,-0.175476,-1.040760,-1.746870,-0.177595
8,0.266667,0.300000,0.084520,0.272427,0.096147,-0.815811,0.818649,0.344214,-0.735319,0.793001,1.488390,-0.610359,-0.423321,-0.595659,-2.463200,0.846052,-0.850092,-1.293230,0.503711,-0.844900,-1.654810,0.046638
9,0.300000,0.333333,0.137007,0.305968,-0.003699,-0.740379,0.790803,0.316636,-0.993780,0.776203,1.465870,-0.667058,-0.623049,-0.936470,-2.632850,0.974769,-0.939265,-1.490380,0.693202,-0.862407,-1.858420,-0.349801
