Frame,StartTime,EndTime,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.000000,0.033333,-0.148109,-0.500581,0.089260,-1.874380,-0.479406,-0.864885,-0.884660,0.635808,-0.893078,-1.303660,-1.135920,-0.883833,-0.708876,0.095953,-1.185220,-1.109840,0.373477,-0.176505,-1.701190,2.908220
1,0.033333,0.066667,-0.091306,-0.531804,0.311834,-1.860610,-0.452298,-0.777602,-0.740822,0.538018,-0.943980,-1.373520,-1.171500,-1.045770,-0.732267,-0.029274,-1.237670,-1.094670,0.496805,-0.029930,-1.803510,3.047200
2,0.066667,0.100000,-0.359947,-0.681918,-0.012245,-1.898640,-0.375253,-0.863899,-0.899461,0.302416,-0.729515,-1.044140,-0.985446,-0.756383,-0.300820,0.097917,-1.012140,-0.834177,-0.005170,-0.334570,-1.129810,2.720530
3,0.100000,0.133333,-0.437828,-1.049160,0.123016,-2.251790,-0.337264,-0.798302,-0.627777,0.239521,-0.803353,-0.793861,-0.570030,-0.428779,0.115730,0.242972,-1.048650,-0.680887,-0.616957,-0.795105,-0.651034,2.665440
4,0.133333,0.166667,-0.594620,-1.080820,0.041859,-2.196580,-0.226520,-0.797862,-0.532653,0.277485,-0.787842,-0.718590,-0.500031,-0.280180,0.089769,0.159054,-0.994878,-0.507764,-0.725744,-0.718456,-0.614642,2.478930
5,0.166667,0.200000,-0.468632,-1.144060,0.152423,-2.172270,-0.155798,-0.740986,-0.521036,0.503085,-0.933658,-0.640964,-0.323512,-0.044793,0.088388,-0.043280,-0.904054,-0.254503,-1.055040,-0.971832,-0.862238,2.547280
6,0.200000,0.233333,-0.399128,-1.030540,0.094699,-2.080820,-0.113871,-0.810141,-0.264420,0.719983,-0.795982,-0.617394,-0.062761,0.041959,0.059404,0.011112,-0.792925,-0.228628,-0.916161,-0.944961,-0.755367,2.323870
7,0.233333,0.266667,-0.554740,-1.001110,-0.074498,-1.987370,-0.176977,-0.847731,-0.611986,0.379634,-0.726877,-0.740244,-0.346874,-0.176957,-0.060301,0.271613,-0.910762,-0.458729,-0.772566,-0.713645,-0.610342,2.366350
8,0.266667,0.300000,-0.590777,-1.178050,0.102830,-2.124630,-0.038332,-0.778419,-0.216446,0.719073,-0.737743,-0.662093,-0.262570,-0.022492,-0.025539,0.066496,-0.827316,-0.307600,-0.961009,-0.916717,-0.799262,2.527680
9,0.300000,0.333333,-0.769911,-1.322520,0.183756,-2.141710,-0.065970,-0.775171,-0.124755,0.919680,-0.818595,-0.696963,-0.504929,0.055936,0.234195,-0.000183,-0.880540,-0.310178,-1.028690,-0.977987,-1.085270,2.582550
