Frame,StartTime,EndTime,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.000000,0.033333,-0.299781,-0.255225,-0.864372,-1.039030,-1.329760,-0.723428,-1.982830,-0.274437,-1.023680,-1.150590,-1.776310,-1.545020,-2.317360,-0.002700,-1.523080,-1.755660,-0.326421,-1.014320,-2.816250,-0.720439
1,0.033333,0.066667,-0.268256,-0.195815,-0.808290,-0.887896,-1.377220,-0.806720,-2.080170,-0.141997,-1.067670,-1.314810,-1.917000,-1.678490,-2.729720,0.142040,-1.617630,-2.033460,0.017414,-0.804770,-2.846720,-0.354407
2,0.066667,0.100000,-0.502516,-0.373640,-1.028490,-1.224630,-1.480850,-1.033830,-2.085540,-0.110771,-1.077400,-1.255290,-1.813160,-1.295160,-2.744980,0.306214,-1.433060,-1.958380,0.205795,-0.593429,-2.491150,-0.044305
3,0.100000,0.133333,-0.524581,-0.392322,-1.060970,-1.236510,-1.471120,-1.057280,-2.091700,-0.097402,-1.071770,-1.254020,-1.810520,-1.271990,-2.719620,0.299980,-1.413100,-1.974170,0.215176,-0.604036,-2.513410,-0.042080
4,0.133333,0.166667,0.214640,0.179516,-0.455032,-1.590660,-0.851261,-0.721441,-1.553260,-0.001102,-0.875333,-1.158860,-0.781248,-0.762724,-2.376550,0.366278,-1.331620,-1.450040,0.102261,-0.570159,-1.838750,1.091030
5,0.166667,0.200000,0.489886,0.451542,-0.481121,-2.202670,-0.614437,-0.615015,-1.595970,0.094008,-0.638323,-1.081600,-0.489227,-0.538772,-2.284140,0.253580,-1.158900,-1.533360,0.274872,-0.361991,-2.226580,1.693690
6,0.200000,0.233333,-0.057278,-0.027662,-0.635722,-2.228000,-1.051170,-0.900017,-1.518680,-0.105860,-0.841152,-1.373480,-1.318740,-1.354410,-3.063920,0.289270,-1.583530,-2.330630,0.805773,0.030533,-2.547220,1.962020
7,0.233333,0.266667,-0.021802,0.000192,-0.398356,-1.524540,-0.922712,-0.797749,-2.191790,-0.425804,-0.799150,-1.185760,-1.372990,-1.187100,-1.709480,0.413228,-1.468170,-1.944320,0.077894,-0.509322,-2.675000,1.045180
8,0.266667,0.300000,-0.026612,-0.002239,-0.396011,-1.513150,-0.932462,-0.796068,-2.185960,-0.425268,-0.800082,-1.181210,-1.371790,-1.188780,-1.723540,0.427909,-1.474110,-1.936840,0.076565,-0.508852,-2.658470,1.039030
9,0.300000,0.333333,-0.246780,-0.309106,-0.377007,-1.190160,-0.968808,-0.706065,-1.740890,-0.369307,-0.839791,-0.896581,-0.885068,-0.987868,-1.347970,0.377263,-1.023340,-1.182030,-0.941858,-1.395990,-2.216910,0.173913
10,0.333333,0.366667,-0.420940,-0.397767,-0.846631,-1.497820,-1.566320,-1.144520,-1.958610,-0.587537,-0.936745,-0.790448,-1.115260,-1.032490,-1.770070,0.436722,-0.871975,-1.137600,-0.510228,-0.692138,-1.929270,0.256627
