Frame,StartTime,EndTime,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.000000,0.033333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.033333,0.066667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.066667,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.100000,0.133333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.133333,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.166667,0.200000,-1.054360,-1.013770,-0.279946,-1.424390,-1.012970,-1.057430,-0.587191,-0.441754,-0.630126,-0.101765,-0.943468,-0.141582,0.925538,-1.754060,-0.312873,0.224927,-2.761950,-1.751750,-1.428090,-0.280798
6,0.200000,0.233333,-0.622858,-0.495304,-0.209929,-1.120090,-1.398840,-1.126290,-1.019870,-0.663683,-0.622051,-0.359630,-0.934782,0.031739,0.065727,-0.220957,-0.588252,-0.226438,-1.980720,-1.538000,-0.747943,1.063640
7,0.233333,0.266667,-1.589530,-1.142610,0.327850,-0.787175,-0.393273,-0.192005,0.842709,-0.104870,-0.771307,-0.744783,-1.199740,-0.172025,0.114766,-1.036170,-0.595232,-0.293136,-1.382430,-1.376040,-1.884390,0.610605
8,0.266667,0.300000,-0.747342,-1.006090,0.346013,-1.452830,-0.973909,-0.603643,-0.024870,-0.538726,-1.033610,-0.647543,-1.379940,-0.615534,0.159296,-0.597678,-0.770056,-0.618289,-1.033670,-1.217270,-1.312430,1.749380
9,0.300000,0.333333,-0.692323,-0.817001,0.069469,-1.185340,-1.066810,-0.877111,-0.249396,-0.696155,-1.050880,-0.776550,-1.066830,-0.168168,-0.119911,-0.705386,-0.681865,-0.507176,-1.536380,-1.629640,-1.579340,1.921290
