Frame,StartTime,EndTime,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.000000,0.033333,0.602259,-0.197044,0.698281,-1.255890,-0.257758,-0.411993,-2.080080,-0.433296,0.109725,-0.237061,-0.947241,-0.753213,-0.923952,-0.157789,-0.641361,-0.769417,0.074901,-0.740600,-1.916600,-0.830059
1,0.033333,0.066667,0.608131,-0.193804,0.702299,-1.256360,-0.257816,-0.411518,-2.078360,-0.433496,0.107056,-0.237673,-0.945386,-0.753125,-0.924297,-0.158591,-0.642402,-0.770256,0.075403,-0.740884,-1.919420,-0.832483
2,0.066667,0.100000,0.601659,-0.195589,0.695335,-1.254260,-0.256953,-0.413367,-2.081350,-0.432954,0.110995,-0.236821,-0.949585,-0.754350,-0.927868,-0.156275,-0.640548,-0.770651,0.077532,-0.737807,-1.916310,-0.828922
3,0.100000,0.133333,0.625465,-0.308642,0.876047,-1.349980,-0.454707,-0.424047,-2.136200,-0.819207,0.134462,0.118513,-0.855083,-0.301614,-0.075325,-0.488958,-0.480410,-0.321256,-0.465771,-0.826449,-1.697130,-0.556612
4,0.133333,0.166667,0.660099,-0.286611,0.839061,-1.137530,-0.540818,-0.482642,-2.373890,-1.010480,0.214507,0.409647,-0.331162,0.107780,0.091950,-0.608357,-0.225062,-0.015425,-0.865511,-0.821806,-1.424900,-0.841319
5,0.166667,0.200000,0.630038,-0.226868,0.670016,-1.174350,-0.714528,-0.596898,-2.862200,-1.203120,0.262392,0.399129,-0.773509,-0.208196,0.209591,-0.779125,-0.411015,-0.081421,-0.950092,-1.038690,-1.751440,-1.019400
6,0.200000,0.233333,0.620939,-0.092321,0.499047,-0.931710,-0.518839,-0.402782,-2.959920,-1.019350,0.239494,0.053160,-0.931315,-0.729343,-0.866392,-0.308934,-0.680824,-0.474919,-0.239651,-0.567871,-1.402860,-1.390950
7,0.233333,0.266667,0.587106,-0.127659,0.471889,-0.943011,-0.528537,-0.413816,-2.973170,-1.031330,0.241417,0.036222,-0.932516,-0.730975,-0.864210,-0.303045,-0.693072,-0.473246,-0.267841,-0.594111,-1.412870,-1.409480
8,0.266667,0.300000,-1.600360,-1.695610,0.047166,-0.404670,-1.774110,-1.349840,-1.354720,-1.768840,-1.698650,0.235129,-1.347840,1.957910,1.237460,-2.600850,0.835101,1.157700,-3.247720,-1.087940,-0.614438,0.168265
9,0.300000,0.333333,0.602241,0.052267,0.258451,-0.572604,0.390712,-0.441553,-2.355870,0.191193,0.833709,-0.433618,-0.367836,-0.755817,-2.947000,0.783203,-0.557834,-1.192330,1.208410,-0.309438,-1.377840,-1.424800
