Frame,StartTime,EndTime,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.000000,0.033333,0.328758,0.291226,-0.965451,-1.501280,0.431707,0.338955,-2.540410,0.645606,0.797829,-1.171580,-0.036153,-0.836293,-1.738640,-0.339482,-0.245574,-1.467510,1.757670,1.178280,-2.480970,-1.050790
1,0.033333,0.066667,0.330151,0.293273,-0.963312,-1.499840,0.431895,0.339920,-2.549480,0.645005,0.798295,-1.176580,-0.044380,-0.849590,-1.744270,-0.336922,-0.248659,-1.479900,1.771540,1.184380,-2.487680,-1.049660
2,0.066667,0.100000,-0.040182,0.078364,-0.978515,-0.769467,0.018806,0.017463,-2.173420,0.109171,0.280134,-1.165780,-0.398649,-0.424844,-0.962348,-1.142740,-0.467238,-1.037480,1.298250,1.712840,-2.333510,-1.589370
3,0.100000,0.133333,0.029445,0.090980,-0.962309,-0.686381,-0.031794,-0.063621,-2.288060,0.166240,0.232140,-1.520410,-0.341822,-0.921859,-1.712560,-0.979275,-0.386270,-1.454130,1.759040,1.861880,-2.681450,-1.434430
4,0.133333,0.166667,0.150514,0.245239,-1.072970,-0.581585,-0.021561,-0.276849,-2.780600,0.200026,0.387380,-1.752160,-0.586675,-1.362190,-2.171500,-1.052590,-0.423555,-1.766350,2.165410,2.130540,-2.656570,-1.590600
5,0.166667,0.200000,0.055378,0.158891,-0.980875,-0.597954,0.039810,-0.108361,-2.294040,0.265983,0.299670,-1.620630,-0.442357,-1.119880,-1.945730,-0.967097,-0.540144,-1.705440,1.888970,1.998690,-2.526600,-1.225960
6,0.200000,0.233333,0.612178,0.561179,0.462577,-0.801302,0.683491,0.126494,-1.482350,0.455563,0.620493,-0.257921,-0.551779,0.085533,-1.451340,0.424220,-0.052165,-0.963509,0.111007,-0.212008,-2.161310,-0.835090
7,0.233333,0.266667,0.668968,0.680602,-1.031960,-0.650566,-0.187299,-0.213076,-1.558190,0.642047,0.498322,-0.521217,-0.543821,-0.379532,-1.631560,-0.078182,-0.936847,-0.649251,0.514768,0.351054,-1.122930,0.359246
8,0.266667,0.300000,0.414882,0.488003,-1.152800,-0.725463,-0.104738,-0.040471,-1.382720,0.688933,0.420059,-0.979329,-0.509591,-0.502088,-1.617640,-0.369425,-1.089630,-1.256500,0.933089,0.944739,-1.658780,0.897791
9,0.300000,0.333333,0.467728,0.598807,-1.176990,-0.670245,-0.244403,0.015875,-1.681730,0.567909,0.341688,-1.179120,-0.449333,-0.555751,-1.606460,-0.042193,-1.055600,-1.211970,1.110610,1.217440,-1.456920,0.993836
10,0.333333,0.366667,0.698583,0.882927,-1.212660,-0.633007,-0.155937,-0.091090,-1.719410,0.307979,0.433380,-1.131250,-0.419440,-0.811529,-1.900230,0.237199,-1.163980,-1.273980,1.544570,1.236970,-1.867280,0.832490
11,0.366667,0.400000,0.597884,0.760639,-1.076450,-0.564077,-0.027034,0.083931,-1.689760,0.526620,0.562201,-1.213060,-0.438176,-0.806690,-1.753970,0.031681,-1.221080,-1.143280,1.386600,1.322040,-1.602870,0.829205
12,0.400000,0.433333,0.780323,0.956014,-1.129170,-0.632236,-0.175731,-0.057171,-1.661150,0.386773,0.467960,-1.251570,-0.451638,-0.981097,-2.148390,0.023808,-1.305410,-1.396180,1.718660,1.424330,-1.825790,0.831546
13,0.433333,0.466667,0.303542,0.545627,-0.781761,-0.710206,0.038611,0.195096,-1.259130,0.438781,0.486064,-1.023570,-0.468910,-0.876078,-1.544730,0.022366,-1.101400,-0.877372,1.342740,1.323290,-1.076290,0.700433
14,0.466667,0.500000,0.499849,0.693443,-0.914569,-0.667095,-0.007644,0.128098,-1.437700,0.409017,0.545556,-1.167920,-0.522748,-0.956456,-1.847750,0.005835,-1.212710,-1.087320,1.557910,1.431620,-1.373710,0.796910
15,0.500000,0.533333,0.612865,0.811696,-0.874436,-0.582640,0.032365,0.027241,-1.450240,0.437047,0.549068,-1.092760,-0.526837,-0.798973,-1.685710,-0.026326,-1.190090,-0.948010,1.325060,1.219580,-1.395460,0.728154
16,0.533333,0.566667,0.744753,0.966479,-1.061410,-0.676321,-0.328195,-0.128197,-2.139570,0.430502,0.404725,-1.673150,-0.625880,-1.621030,-2.995180,-0.043869,-1.353580,-2.151990,2.634560,2.218970,-2.139710,1.203870
