Frame,StartTime,EndTime,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.000000,0.033367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.033367,0.066733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.066733,0.100100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.100100,0.133467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.133467,0.166833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.166833,0.200200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.200200,0.233567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.233567,0.266933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.266933,0.300300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.300300,0.333667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.333667,0.367033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,0.367033,0.400400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,0.400400,0.433767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.433767,0.467133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.467133,0.500500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,0.500500,0.533867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,0.533867,0.567233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,0.567233,0.600600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,0.600600,0.633967,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,0.633967,0.667333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.667333,0.700700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,0.700700,0.734067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,0.734067,0.767433,-1.617020,-0.664152,-1.024100,-0.673857,-0.505638,-0.116644,-0.381303,-0.788312,-0.021373,-0.260991,-0.697173,-0.501155,0.147853,-0.886638,-0.354013,0.101020,-0.720285,-0.480939,-1.255570,0.153054
23,0.767433,0.800800,-1.452160,-1.107070,-0.898495,-0.725778,-0.258934,0.087929,-1.249870,-0.970263,0.496300,0.104727,-1.147530,-0.965706,-0.681260,-0.513526,-0.734569,-0.115857,-1.213670,-1.364740,-1.920610,-0.823709
24,0.800800,0.834167,-1.315390,-1.082430,-0.696269,-0.853302,-1.237510,-0.237936,-1.965750,-2.346150,-0.610614,-0.055144,-1.192340,-0.482706,0.286166,-0.345817,-0.024736,-0.067910,-1.574600,-0.905920,-0.871666,-1.562750
25,0.834167,0.867533,-1.740220,-1.249720,-0.581676,-0.842067,-0.960099,0.123543,-1.690180,-1.422270,0.015881,0.178602,-0.937507,-0.549530,-0.595147,0.355474,-0.191241,0.356134,-1.229990,-1.074540,-0.825894,-1.447750
26,0.867533,0.900900,-1.571340,-1.231810,-0.625192,-1.046660,-1.134160,-0.033582,-1.903550,-1.512560,0.102369,0.334345,-0.785907,-0.540428,-0.548580,0.443782,-0.003927,0.544456,-1.261210,-0.960405,-0.552511,-1.386250
27,0.900900,0.934267,-1.598390,-1.296980,-0.550578,-0.974169,-1.032080,0.092484,-1.761270,-1.588850,0.058544,0.329955,-0.776329,-0.496305,-0.591948,0.307059,-0.062242,0.590288,-1.450270,-1.090080,-0.778164,-1.482320
28,0.934267,0.967633,-1.493040,-1.222250,-0.624194,-0.784692,-0.979451,0.034191,-1.860280,-1.428050,0.165395,0.424242,-0.740404,-0.475758,-0.876035,0.452511,-0.027629,0.582773,-1.423230,-1.108480,-0.487241,-1.560240
29,0.967633,1.001000,-1.561760,-1.295820,-0.576422,-0.612400,-1.049040,0.045163,-2.089600,-1.427650,0.011626,0.328971,-0.900470,-0.564972,-1.069120,0.748377,-0.117384,0.449513,-1.185510,-0.972217,-0.397487,-1.702230
30,1.001000,1.034370,-1.485700,-1.233370,-0.539343,-0.704056,-0.993467,0.086534,-1.949650,-1.360380,-0.036401,0.116205,-0.914640,-0.834084,-1.325540,0.814495,-0.428110,0.120947,-1.063790,-1.127930,-0.989972,-1.764540
31,1.034370,1.067730,-1.390960,-1.053950,-0.536308,-0.609412,-0.860150,0.152719,-1.883250,-1.110070,-0.002295,-0.103402,-0.788464,-0.904509,-1.270960,0.532180,-0.532245,-0.046377,-1.064190,-1.228720,-1.318860,-1.696050
32,1.067730,1.101100,-1.453530,-0.977480,-0.396350,-0.628861,-0.854687,0.144246,-1.712040,-0.833995,0.029235,-0.327122,-0.978612,-1.064080,-1.312680,0.561101,-0.621802,-0.302523,-0.465036,-0.906313,-1.311540,-1.251480
33,1.101100,1.134470,-1.414900,-0.956586,-0.339623,-0.534458,-0.799873,0.242199,-1.988380,-0.796928,-0.059859,-0.386421,-1.116160,-1.269050,-1.336190,0.777313,-0.686008,-0.429253,-0.173638,-0.777851,-1.482380,-1.362180
34,1.134470,1.167830,-1.387630,-0.960732,-0.356298,-0.500063,-0.718461,0.207374,-1.568070,-0.720769,-0.029992,-0.326569,-0.992553,-1.268020,-1.214690,0.441735,-0.632133,-0.385305,-0.553673,-1.044410,-1.341660,-1.462420
