Frame,StartTime,EndTime,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.000000,0.033333,-0.676098,-0.404191,-0.507966,-1.698920,-0.557154,-0.110273,-2.304720,-1.032850,-0.989318,-2.049460,-2.388340,-2.365100,-0.589757,-1.261550,-1.379780,-2.877950,2.348740,2.240420,-3.453740,-1.617970
1,0.033333,0.066667,-0.712762,-0.366847,-0.644164,-1.714880,-0.538413,-0.010901,-2.436260,-1.004350,-0.921651,-1.994420,-2.541060,-2.528300,-0.724082,-1.124840,-1.402290,-2.905770,2.690600,2.488850,-3.490670,-1.360320
2,0.066667,0.100000,-0.814369,-0.494831,-0.668579,-1.894980,-0.844975,-0.234553,-2.507050,-1.077180,-1.061340,-2.204410,-2.344250,-2.428850,-0.932375,-1.199920,-1.352120,-2.950230,2.725460,2.643950,-3.462630,-1.647940
3,0.100000,0.133333,-0.803543,-0.461156,-0.656795,-1.864580,-0.917463,-0.261359,-2.533690,-1.059750,-1.088330,-2.351660,-2.398160,-2.528160,-1.071680,-1.222240,-1.388800,-3.100260,2.999340,2.864770,-3.643900,-1.555060
4,0.133333,0.166667,-0.809595,-0.469779,-0.654379,-1.877140,-0.924405,-0.265038,-2.538610,-1.057140,-1.087690,-2.347810,-2.381770,-2.518510,-1.052250,-1.221340,-1.386790,-3.088720,2.988950,2.857970,-3.633910,-1.562900
5,0.166667,0.200000,-0.687030,-0.319504,-0.629894,-1.722250,-0.802465,-0.150697,-2.741440,-1.024420,-1.062290,-2.360190,-2.521370,-2.638120,-1.098060,-1.160890,-1.483380,-3.190430,3.204210,2.985530,-4.020290,-1.451160
6,0.200000,0.233333,-0.671651,-0.297644,-0.632563,-1.716510,-0.800526,-0.150096,-2.758750,-1.022590,-1.034220,-2.358200,-2.531820,-2.643130,-1.138440,-1.145630,-1.487370,-3.198770,3.247880,3.028560,-4.002020,-1.432660
7,0.233333,0.266667,-0.695009,-0.316460,-0.629702,-1.727480,-0.849924,-0.217673,-2.794950,-1.034860,-1.027600,-2.364570,-2.559610,-2.648130,-1.178220,-1.092180,-1.514810,-3.218170,3.252590,3.069460,-4.044640,-1.412140
8,0.266667,0.300000,-0.674443,-0.368252,-0.565021,-1.722820,-0.808314,-0.215239,-2.507140,-1.017540,-1.048240,-2.403250,-2.381090,-2.524380,-1.141990,-1.188240,-1.374060,-3.124820,3.044180,2.933300,-3.782080,-1.379130
9,0.300000,0.333333,-0.707669,-0.405152,-0.563020,-1.751660,-0.782508,-0.206703,-2.491600,-1.018290,-1.045660,-2.365900,-2.476580,-2.549020,-1.071000,-1.174940,-1.429300,-3.136240,2.992300,2.857480,-3.785240,-1.399640
10,0.333333,0.366667,-0.694514,-0.392183,-0.561862,-1.749750,-0.771267,-0.198987,-2.507550,-1.016410,-1.034090,-2.351410,-2.475570,-2.546650,-1.070870,-1.163190,-1.425930,-3.128120,2.990710,2.857210,-3.788210,-1.384110
11,0.366667,0.400000,-0.724147,-0.423970,-0.606244,-1.828380,-0.867747,-0.245027,-2.518560,-1.038660,-1.086880,-2.408900,-2.503510,-2.642790,-1.146260,-1.124730,-1.467590,-3.194410,3.073190,2.923500,-3.791360,-1.395510
12,0.400000,0.433333,-0.743336,-0.384909,-0.614892,-1.963530,-0.584846,-0.062003,-2.508780,-0.922856,-0.972636,-2.065400,-2.470890,-2.533260,-0.758611,-0.984649,-1.498170,-2.937070,2.722960,2.505840,-3.516700,-1.269720
13,0.433333,0.466667,-0.908283,-0.573860,-0.618978,-2.105780,-0.357433,-0.009226,-2.641220,-0.882072,-0.961742,-1.991280,-3.005990,-2.608850,-0.386172,-0.988335,-1.608620,-2.935520,2.255000,1.959860,-3.938020,-1.372260
14,0.466667,0.500000,-1.340040,-1.023230,-1.046960,-2.561930,-0.656336,-0.402515,-2.803680,-1.152800,-1.232640,-1.871580,-2.953830,-2.088580,0.004458,-1.100050,-1.497830,-2.456740,1.215750,1.198310,-3.797090,-2.900770
