Frame,StartTime,EndTime,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.000000,0.033367,1.575100,1.822040,-0.661205,0.123480,-1.485120,-1.036570,-5.291520,-1.177150,-0.570056,-0.802598,-1.629660,-1.092450,-0.440171,-0.232271,-1.547730,-1.617530,0.882462,0.609249,-2.037280,-0.965700
1,0.033367,0.066733,1.710730,1.989910,-0.580359,0.255932,-1.610700,-1.049290,-5.388170,-1.270320,-0.711276,-1.153230,-1.735280,-1.431490,-0.920474,-0.209451,-1.787510,-2.167290,1.348540,1.032390,-2.507000,-0.720798
2,0.066733,0.100100,1.856820,2.082080,-0.563873,0.404058,-1.725500,-1.059530,-5.468320,-1.402040,-0.814352,-1.365320,-1.714780,-1.591240,-1.147330,-0.207420,-1.975750,-2.461570,1.724020,1.409300,-2.964500,-0.528463
3,0.100100,0.133467,1.801950,2.075150,-0.709933,0.283427,-1.965830,-1.310520,-5.271120,-1.709290,-0.942191,-1.474920,-1.612660,-1.505570,-1.236850,-0.370450,-2.078150,-2.384170,1.558170,1.492070,-3.196920,-0.308005
4,0.133467,0.166833,1.932870,2.172550,-0.772416,0.297317,-2.136840,-1.414900,-5.188400,-1.865980,-0.942228,-1.422560,-1.471340,-1.423860,-1.195740,-0.477079,-2.064480,-2.194400,1.521630,1.556090,-3.297980,-0.188727
5,0.166833,0.200200,2.262650,2.329940,-0.879983,0.296139,-2.211240,-1.457360,-5.282890,-2.025740,-0.894235,-1.429430,-1.517610,-1.483990,-1.212750,-0.494583,-2.171450,-2.278110,1.658020,1.662050,-3.468240,0.490078
6,0.200200,0.233567,0.458487,0.334230,-1.147120,-0.826356,-2.501510,-2.091730,-3.741610,-2.187080,-0.524476,-0.227873,-1.415720,-0.256058,-1.074020,-0.883114,-0.527256,-0.003066,-1.758430,-0.952923,-0.440027,1.412690
7,0.233567,0.266933,-0.141967,-0.243866,-0.943719,-0.935040,-2.241320,-1.794110,-3.110220,-2.435860,-0.508663,0.131961,-1.349360,-0.056796,-0.913952,-0.977163,-0.300722,0.453091,-2.736340,-1.751450,-0.285274,1.586650
8,0.266933,0.300300,0.223380,0.057943,-0.916915,-0.792204,-2.066250,-1.776160,-3.007360,-2.041160,-0.457655,0.060797,-1.277230,-0.152825,-0.877242,-0.808218,-0.450182,0.299368,-2.267440,-1.480000,-0.407199,1.634080
9,0.300300,0.333667,2.057680,1.785250,-0.580266,-0.638347,-1.500230,-1.065940,-4.109440,-1.357520,-0.488921,-0.837847,-1.401940,-0.977617,0.587157,-0.676236,-1.367680,-1.348360,0.725646,0.614693,-2.225600,2.182400
10,0.333667,0.367033,1.665640,1.345640,-0.902039,-0.343049,-1.291760,-1.051350,-4.006090,-1.289580,-0.147173,-0.147314,-1.135180,-0.630054,0.371946,-0.459250,-0.878331,-0.412671,-0.635167,-0.655650,-1.722650,0.768678
11,0.367033,0.400400,1.222810,0.950497,-1.158430,-0.386993,-1.629460,-1.444440,-4.460420,-1.934700,-0.339768,0.055301,-0.929092,-0.213080,0.476634,-1.161260,-1.091140,-0.093354,-2.070140,-1.479920,-2.227040,0.246436
12,0.400400,0.433767,1.613510,1.339620,-1.222320,-0.343928,-1.766660,-1.495530,-5.002640,-2.328650,-0.460330,-0.072716,-0.807227,-0.194038,0.068876,-0.863787,-1.118920,-0.149540,-2.183450,-1.726060,-2.569480,-0.136295
13,0.433767,0.467133,1.583500,1.326290,-1.092360,-0.446133,-1.705090,-1.374160,-4.928550,-1.875520,-0.672980,-0.177890,-1.933200,-1.010300,-0.612054,-0.515213,-1.175920,-0.581479,-1.242800,-1.147280,-1.745330,-0.184348
14,0.467133,0.500500,1.830810,1.652890,-0.968400,-0.420241,-1.492160,-1.150950,-4.722830,-1.299760,-0.222936,-0.241624,-2.119730,-1.454810,-1.456690,-0.036840,-1.215780,-1.080100,0.056554,-0.384050,-1.062990,0.161946
