Frame,StartTime,EndTime,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.000000,0.033367,-0.887260,-1.065020,-0.769783,-2.342300,-1.855860,-2.206220,-2.222900,-0.113385,-2.033370,-0.990243,-1.085200,0.089080,0.023767,-1.267700,-1.589570,-0.658432,-2.523730,-2.125270,-2.665890,1.826780
1,0.033367,0.066733,-0.990051,-1.098680,-0.763949,-2.182300,-1.526760,-2.109350,-1.880850,0.409667,-1.898210,-1.124390,-0.877395,0.129103,-0.154216,-1.055010,-1.599650,-0.804851,-1.973090,-1.891600,-2.670850,1.846710
2,0.066733,0.100100,-0.940879,-1.055100,-0.707690,-2.236470,-1.479760,-2.098950,-1.656620,0.633978,-1.818090,-1.151890,-0.730002,0.285426,0.037653,-1.007740,-1.519830,-0.772766,-1.737190,-1.752150,-2.680060,1.854150
3,0.100100,0.133467,-0.963900,-1.040150,-0.824923,-2.335380,-1.573320,-2.128860,-1.628380,0.518993,-1.874370,-1.114530,-0.603181,0.532934,0.314338,-1.141960,-1.325680,-0.553743,-1.957570,-1.760110,-2.775560,1.795860
4,0.133467,0.166833,-0.994337,-0.990972,-1.013160,-2.067360,-1.822220,-2.272800,-2.016200,0.278149,-1.967000,-1.108390,-0.703837,0.550309,0.337738,-1.274730,-1.217730,-0.572412,-2.395050,-2.030220,-2.985050,1.582750
5,0.166833,0.200200,-1.032380,-1.006100,-1.042760,-2.137520,-1.936280,-2.327120,-2.101920,0.165337,-1.943620,-1.046540,-0.850250,0.545254,0.458292,-1.353540,-1.113210,-0.477343,-2.452160,-1.983360,-2.877790,1.631130
6,0.200200,0.233567,-1.017310,-1.028290,-0.904698,-2.127270,-1.869130,-2.270020,-2.078240,0.214483,-1.944540,-1.013890,-0.945537,0.481469,0.309342,-1.224520,-1.149370,-0.569900,-2.436860,-2.004210,-2.852490,1.562120
7,0.233567,0.266933,-1.009850,-1.008400,-0.945603,-2.115470,-1.847680,-2.261750,-2.054630,0.284672,-1.841970,-0.987216,-0.937232,0.469079,0.268499,-1.162010,-1.125640,-0.551976,-2.374910,-1.976860,-2.786860,1.480690
8,0.266933,0.300300,-1.057530,-1.039810,-0.939017,-2.034770,-1.723760,-2.196430,-1.983650,0.387499,-1.862700,-0.999757,-1.119470,0.287582,0.081711,-1.143670,-1.222280,-0.660294,-2.262100,-1.988980,-2.768130,1.504970
9,0.300300,0.333667,-1.000700,-0.949142,-1.054040,-1.898560,-1.717270,-2.261160,-2.093960,0.342410,-1.728100,-0.983115,-1.478920,-0.016376,-0.104848,-1.069570,-1.241700,-0.801671,-1.908190,-1.781790,-2.570750,1.449740
10,0.333667,0.367033,-1.080670,-1.003790,-1.099030,-1.970760,-1.634390,-2.351560,-2.114880,0.305152,-1.535950,-0.717595,-1.523100,0.105180,-0.165230,-0.955067,-0.972766,-0.576545,-1.965900,-1.671080,-2.184900,1.457460
11,0.367033,0.400400,-0.873362,-0.883854,-1.139100,-1.974380,-1.840690,-2.499360,-2.507570,0.033622,-1.420060,-0.405414,-1.511880,0.102942,-0.068324,-0.894315,-0.844641,-0.229095,-2.260450,-1.658920,-1.794030,1.231610
12,0.400400,0.433767,-1.009270,-0.960801,-1.189410,-1.967610,-1.869140,-2.548840,-2.568920,-0.058991,-1.239490,-0.234968,-1.546980,0.212705,0.132032,-0.887674,-0.658628,-0.061171,-2.326520,-1.618020,-1.573420,1.176870
13,0.433767,0.467133,-0.967514,-0.974805,-1.176340,-2.084900,-2.020990,-2.623390,-2.703720,-0.250507,-1.428750,-0.343032,-1.504450,0.241614,0.031054,-0.943824,-0.741597,-0.110112,-2.505210,-1.692600,-1.710800,1.245580
14,0.467133,0.500500,-0.997751,-1.106790,-1.171080,-2.212150,-2.621430,-2.751910,-3.317470,-1.036690,-2.230070,-0.752472,-1.418930,0.263567,0.118186,-1.380340,-1.013220,-0.334167,-3.122530,-2.126540,-2.446490,1.309130
