Frame,StartTime,EndTime,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.000000,0.033367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.033367,0.066733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.066733,0.100100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.100100,0.133467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.133467,0.166833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.166833,0.200200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.200200,0.233567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.233567,0.266933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.266933,0.300300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.300300,0.333667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.333667,0.367033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,0.367033,0.400400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,0.400400,0.433767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.433767,0.467133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.467133,0.500500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,0.500500,0.533867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,0.533867,0.567233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,0.567233,0.600600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,0.600600,0.633967,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,0.633967,0.667333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.667333,0.700700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,0.700700,0.734067,-0.435222,-0.212345,-0.566530,-1.206210,-0.771882,-0.332558,-1.876830,-0.263525,-0.730300,-1.262680,-2.538790,-1.446280,-1.643460,-0.259885,-1.481520,-2.085900,1.211300,0.818205,-2.887540,1.631260
22,0.734067,0.767433,-0.506790,-0.173311,-0.624603,-1.024710,-1.413410,-0.545989,-2.477440,-0.935831,-1.254460,-1.641110,-2.395650,-1.742460,-0.478877,-1.211910,-1.401330,-2.064990,0.868917,0.632959,-3.415560,1.839390
23,0.767433,0.800800,-0.568497,-0.260564,-0.769205,-1.081980,-1.004720,-0.113776,-2.726110,-1.007160,-1.280940,-1.730940,-1.740000,-1.454920,-0.257892,-1.116120,-1.326470,-2.020900,0.598026,0.420361,-3.499310,1.337200
24,0.800800,0.834167,-0.335202,-0.014870,-0.611761,-1.117930,-0.766969,0.135971,-2.622180,-1.224720,-1.079460,-1.781630,-2.268320,-1.863780,-0.675648,-1.151500,-1.021510,-2.098410,1.195780,1.031580,-3.764720,1.335190
25,0.834167,0.867533,-0.337489,-0.180358,-0.534908,-1.101990,-0.785480,0.278751,-2.621480,-1.007570,-1.260060,-2.033670,-1.769920,-1.656410,-0.645013,-0.848689,-1.166570,-2.188040,1.114930,0.808386,-3.793460,1.347560
26,0.867533,0.900900,-0.306877,-0.088613,-0.722965,-0.986305,-0.822961,0.050574,-2.763720,-0.892711,-1.109800,-2.024220,-1.542080,-1.536280,-0.755644,-0.685304,-1.178980,-2.134570,1.085950,0.821078,-3.692640,1.234420
27,0.900900,0.934267,-0.297918,-0.062524,-0.719016,-1.015180,-0.779957,0.064285,-2.918770,-0.924322,-1.136410,-2.094690,-1.596690,-1.625890,-0.806054,-0.651423,-1.130120,-2.244570,1.165820,0.813076,-3.963900,1.248310
28,0.934267,0.967633,-0.378202,-0.163757,-0.725512,-1.129090,-0.886515,0.019749,-2.897120,-1.067920,-1.090070,-2.126360,-1.572940,-1.593540,-0.768369,-0.585643,-0.894115,-2.041760,1.159720,0.826763,-4.012480,1.263600
29,0.967633,1.001000,-0.353814,-0.208924,-0.763591,-0.912557,-0.962926,-0.024574,-2.826380,-1.042180,-1.137340,-1.939870,-1.271620,-1.377360,-0.780680,-0.436843,-0.908285,-1.804170,1.035990,0.859926,-3.777740,1.149090
30,1.001000,1.034370,-0.296736,-0.090928,-0.829984,-0.870186,-0.928355,-0.040268,-2.752660,-0.968167,-1.183240,-1.946630,-1.121450,-1.271650,-0.660753,-0.598526,-0.900892,-1.728190,1.122000,1.002530,-3.960930,1.011890
31,1.034370,1.067730,-0.284817,-0.114068,-0.871639,-1.069190,-1.043180,-0.171784,-2.803770,-1.036810,-1.162410,-1.900940,-1.191280,-1.356420,-0.743607,-0.595341,-0.972784,-1.691240,1.192540,1.108070,-3.830240,1.302560
32,1.067730,1.101100,-0.117916,0.067902,-0.851239,-1.300130,-1.574250,-0.622657,-3.007430,-1.389220,-1.200820,-1.935570,-1.463990,-1.636030,-0.661483,-0.748579,-1.024990,-1.715370,1.310110,1.271760,-3.881010,1.845650
33,1.101100,1.134470,0.002136,0.238278,-0.646599,-1.195830,-1.549600,-0.566350,-2.851600,-1.330590,-1.329390,-2.105860,-1.699810,-1.959950,-0.936301,-0.590617,-0.977009,-1.932190,1.761570,1.541360,-3.855830,2.073790
34,1.134470,1.167830,0.084193,0.343618,-0.617084,-1.114260,-1.438910,-0.575052,-2.806000,-1.330660,-1.173750,-1.995690,-1.650990,-1.894750,-0.802337,-0.586872,-0.998438,-1.878890,1.534240,1.341650,-3.807610,2.165170
