Frame,StartTime,EndTime,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.000000,0.033333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.033333,0.066667,0.677495,0.380541,-0.558616,-1.224200,-0.759637,-0.496175,-2.819060,-2.392130,-0.251216,-0.001523,-1.629330,-0.885049,-1.010180,0.080561,0.066769,-0.752152,-0.781637,-0.596430,-0.276886,0.147458
2,0.066667,0.100000,0.072215,-0.112948,-0.494797,-1.400670,-0.706886,-0.558579,-2.529360,-2.448170,-0.259877,-0.137756,-1.750760,-1.061510,-1.422780,-0.176288,0.214107,-0.935040,-1.308730,-1.099680,-0.796203,0.210508
3,0.100000,0.133333,-0.065711,-0.253474,-0.538990,-1.723850,-0.917564,-0.480104,-2.734760,-3.148450,-0.903994,-0.216312,-1.955890,-0.994506,-0.977799,-0.561787,0.233893,-0.829430,-1.461620,-0.908042,-0.708231,-0.372959
4,0.133333,0.166667,0.075562,-0.164278,-0.453859,-1.317540,-1.157020,-0.697750,-3.030900,-2.975980,-1.088470,-0.230226,-1.644560,-0.940402,-0.668840,-0.267655,0.159950,-0.613760,-1.450160,-1.042170,-0.563569,-0.823939
5,0.166667,0.200000,-0.058933,-0.262758,-0.478972,-1.292340,-1.128980,-0.622584,-3.021700,-2.841310,-1.254540,-0.416067,-1.556190,-1.026280,-0.805458,0.038352,0.058076,-0.715555,-1.273430,-1.041600,-0.632059,-0.850167
6,0.200000,0.233333,0.044919,-0.177340,-0.515682,-1.326400,-1.182050,-0.600755,-3.387430,-3.054080,-1.212900,-0.211982,-1.596550,-0.942139,-0.619884,-0.198313,-0.030937,-0.592828,-1.480570,-1.035000,-0.215772,-0.893917
7,0.233333,0.266667,-0.173786,-0.192988,-0.568125,-1.366080,-1.259370,-0.785049,-3.171390,-3.006680,-1.190040,-0.363575,-1.601310,-1.027600,-0.909188,-0.093260,-0.045754,-0.744033,-1.479880,-1.179160,-0.427048,-0.553540
8,0.266667,0.300000,-0.016669,0.215863,-0.679214,-1.377370,-1.451020,-1.242750,-2.969790,-2.666330,-0.678263,-0.226286,-1.632450,-1.108540,-0.964224,0.180587,0.016248,-0.692060,-1.204810,-1.057380,-0.611158,0.389771
9,0.300000,0.333333,0.099808,0.285999,-0.495210,-1.561890,-1.401090,-1.305330,-2.832160,-2.413950,-0.370568,-0.359569,-1.597430,-1.245620,-1.204450,-0.031411,-0.028528,-1.045460,-1.070450,-0.954543,-0.914568,0.622519
10,0.333333,0.366667,0.031050,0.274101,-0.460614,-1.744450,-1.412050,-1.160410,-2.921350,-2.596100,-0.417223,-0.675096,-1.730840,-1.505040,-1.575390,-0.160659,0.065899,-1.421590,-0.776632,-0.627219,-1.239730,0.584331
11,0.366667,0.400000,-0.044852,0.171233,-0.585793,-2.020840,-1.382470,-0.889435,-2.623450,-2.572260,-0.399337,-0.892269,-1.870180,-1.620150,-1.980220,-0.062954,0.107292,-1.684180,-0.338120,-0.211958,-1.499980,0.479512
12,0.400000,0.433333,0.149221,0.294137,-0.618182,-1.801140,-1.609400,-0.931665,-2.711520,-2.434170,-0.472648,-1.103880,-1.839180,-1.627140,-2.364200,-0.002581,0.300754,-1.698270,0.247684,0.532286,-1.513430,0.457917
13,0.433333,0.466667,1.325200,1.321160,-0.218372,-0.972349,-1.884150,-1.062850,-3.339860,-2.279720,-0.639678,-1.514100,-1.570330,-1.592390,-2.682460,-0.322853,0.391045,-1.623070,1.055310,1.364040,-1.870490,0.406116
14,0.466667,0.500000,2.181200,1.805750,-0.559191,-0.413658,-2.832740,-1.835890,-4.369580,-2.529780,-1.200310,-1.937940,-1.351290,-1.754980,-3.178090,-0.322856,0.239977,-1.755890,1.965380,2.424010,-2.133340,-0.131347
15,0.500000,0.533333,2.071740,1.787760,-0.795620,-0.130760,-3.225730,-1.999780,-4.766070,-2.868710,-1.388100,-2.232900,-1.587010,-2.081010,-3.555070,-0.483610,0.323974,-2.138900,2.592340,3.152810,-2.515480,-0.236042
