frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.92, 1, 0.43, 0.44, -1.42, 0.35, 1.03, 0.18, 0.49, 1.34, 1.76, 1.02, 0.17, 0.47, 0.31, 0.54, 0.54, 0.51, 0.66, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2, 0, 0.000, 0.98, 1, -0.51, 0.86, 0.52, -0.08, 1.20, 2.21, -0.83, 0.80, 2.39, 0.70, -1.01, 4.36, -1.17, 4.50, -2.80, -0.08, 2.44, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
3, 0, 0.000, 0.98, 1, -0.42, -2.06, 0.38, 0.88, 1.98, 1.43, -0.57, 1.85, 3.55, 1.40, -0.58, 1.05, -0.46, 2.51, 2.06, 1.16, 1.03, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
4, 0, 0.000, 0.98, 1, -2.68, -2.88, 0.09, 0.59, 1.20, -0.54, 0.30, 1.85, 2.90, 0.87, -0.30, 4.51, 1.03, 1.11, 2.38, 0.72, -3.39, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0
5, 0, 0.000, 0.98, 1, -0.54, 0.85, -0.66, 1.72, 0.07, -2.16, -0.91, 1.23, 1.43, 2.26, -1.21, 1.10, 0.92, 1.26, -1.11, 0.20, -0.18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
6, 0, 0.000, 0.98, 1, -0.64, 1.50, -1.13, 1.69, 1.08, 0.33, 1.14, 2.31, 2.17, 1.29, -0.72, 2.11, 0.61, 3.14, -0.72, 1.05, 2.97, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0
7, 0, 0.000, 0.98, 1, -1.23, -1.47, 0.07, 1.59, 4.04, 2.01, -0.01, 2.93, 3.75, 2.53, 0.68, 1.52, 0.52, 1.55, 1.22, 2.04, -1.34, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
8, 0, 0.000, 0.92, 1, -1.04, 0.50, -0.30, 3.17, -0.32, 1.12, -1.51, -0.21, 0.24, -0.16, -1.46, 2.29, 1.29, 1.02, -2.39, 2.97, -0.07, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0
9, 0, 0.000, 0.88, 1, 2.79, 4.04, 0.57, 0.37, 0.28, 0.99, -0.03, -0.52, 0.23, -0.26, 0.75, 4.55, 0.05, 2.13, -3.20, -0.80, -0.86, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0
10, 0, 0.000, 0.98, 1, 0.55, 2.14, -1.02, 0.45, 0.80, 0.15, 0.74, 0.61, 1.41, 1.37, -1.76, 0.33, 0.78, 0.17, -1.51, 0.51, 1.15, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
